j;c;l;lc;m;sp;lp;lb;nlt;nlo;fi;p;f;n;um;uma
B;324;"Liceul Tehnologic de Metrologie ""Traian Vuia""";4061101982;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;7.50;-
B;325;"Liceul Tehnologic de Metrologie ""Traian Vuia""";4061101982;URBAN;Electric;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;5.55;5.36
B;326;"Liceul Tehnologic de Metrologie ""Traian Vuia""";4061101982;URBAN;Electronica automatizari;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;5.40;5.22
B;327;"Liceul Tehnologic de Metrologie ""Traian Vuia""";4061101982;URBAN;Protectia mediului;Limba romana;-;48;48;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;5.80;5.88
B;328;"Liceul Tehnologic ""Dacia""";4061102463;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;6.95;-
B;329;"Liceul Tehnologic ""Dacia""";4061102463;URBAN;Mecanica;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.02;2.87
B;319;"Colegiul Romano-Catolic ""Sfantul Iosif""";4061100669;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.55;8.62
B;304;"Colegiul National ""Mihai Eminescu""";4061103274;URBAN;Matematica-Informatica;Limba romana;-;104;104;Zi;Real;Teoretica;Liceal;9.22;9.23
B;305;"Colegiul National ""Mihai Eminescu""";4061103274;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.27;9.27
B;306;"Colegiul National ""Mihai Eminescu""";4061103274;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;9.12;9.14
B;307;"Colegiul National ""Mihai Eminescu""";4061103274;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.17;9.19
B;311;"Colegiul National ""Ion Creanga""";4061103265;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.45;9.43
B;313;"Colegiul National ""Ion Creanga""";4061103265;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.40;9.40
B;314;"Colegiul National ""Ion Creanga""";4061103265;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;9.25;9.27
B;315;"Colegiul National ""Ion Creanga""";4061103265;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.32;9.32
B;312;"Colegiul National ""Ion Creanga""";4061103265;URBAN;Matematica-Informatica;Limba romana;Limba engleza;26;26;Zi;Real;Teoretica;Liceal;9.55;9.57
B;308;"Colegiul National ""Gheorghe Sincai""";4061101756;URBAN;Matematica-Informatica;Limba romana;-;130;130;Zi;Real;Teoretica;Liceal;9.52;9.48
B;309;"Colegiul National ""Gheorghe Sincai""";4061101756;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.52;9.47
B;310;"Colegiul National ""Gheorghe Sincai""";4061101756;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.42;9.32
B;226;Liceul Teoretic Bilingv ”Ita Wegman”;4061105077;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.47;8.30
