j;lc;l;t;a;p;f;m;sp
B;300;Școala Gimnazială nr. 54;50;Unitate de învăţământ;URBAN;Istriei 19 031943;213465143;314040173
B;301;Școala Gimnazială nr. 55;56;Unitate de învăţământ;URBAN;Industriilor 46 032898;212561066;212561066
B;302;Școala Gimnazială nr. 56;124;Unitate de învăţământ;URBAN;Protopopescu Pache 109A 021409;212524125;212524125
B;303;Școala Gimnazială nr. 62;81;Unitate de învăţământ;URBAN;Potârnichii 3 022361;212553635;212552909
B;304;Școala Gimnazială nr. 66;70;Unitate de învăţământ;URBAN;Logofătul Dan 1 022417;212554580;212554580
B;305;Școala Gimnazială nr. 67;28;Unitate de învăţământ;URBAN;Magnetului 1-3 033065;212560040;212560040
B;306;Școala Gimnazială nr. 71;15;Unitate de învăţământ;URBAN;Moșilor 148 020882;213141395;213141395
B;307;Școala Gimnazială nr. 77;45;Unitate de învăţământ;URBAN;Pantelimon 289 021616;212553945;212553945
B;308;Școala Gimnazială nr. 78;39;Unitate de învăţământ;URBAN;Gara Căţelu 50 032993;212563261;212563261
B;309;Școala Gimnazială nr. 79;136;Unitate de învăţământ;URBAN;Cuza Vodă  51 040281;314257884;314257885
B;310;Școala Gimnazială nr. 80;85;Unitate de învăţământ;URBAN;Dudeşti 191 031084;213214256;213214256
B;311;Școala Gimnazială nr. 81;89;Unitate de învăţământ;URBAN;Nerva Traian 3 031041;213263220;213263220
B;312;Școala Gimnazială nr. 82;89;Unitate de învăţământ;URBAN;Steriadi Jean Alexandru 17 032494;213450962;213450962
B;313;Școala Gimnazială nr. 85;36;Unitate de învăţământ;URBAN;Zlătescu Constantin, medic 7A 021505;212524520;212531217
B;314;Școala Gimnazială nr. 86;45;Unitate de învăţământ;URBAN;Reconstrucţiei 6A 031726;314250608;314250608
B;315;Școala Gimnazială nr. 88;89;Unitate de învăţământ;URBAN;Odobeşti 3 032151;213480445;213480445
B;316;Școala Gimnazială nr. 92;50;Unitate de învăţământ;URBAN;Vlăhiţa 1A 032273;213480375;213480375
B;317;Școala Gimnazială nr. 95;13;Unitate de învăţământ;URBAN;Foişorului 111-113 031176;213235185;213235185
B;318;Școala Gimnazială nr. 97;173;Unitate de învăţământ;URBAN;Viorele 7 040425;213302545;213302545
B;319;Școala Gimnazială nr. 99;49;Unitate de învăţământ;URBAN;Huedin 13 040913;214501372;214501372
B;320;Școala Gimnazială nr.145;18;Unitate de învăţământ;URBAN;Heliade între Vii 36 023384;212407036;212407036
B;321;Școala Gimnazială nr.307;73;Unitate de învăţământ;URBAN;Luncşoara 17 021231;212100012;212102585
B;322;Școala Gimnazială ”Ferdinand I”;66;Unitate de învăţământ;URBAN;Gara Obor 16 021747;212525370;212525370
B;323;Școala Gimnazială ”George Bacovia”;81;Unitate de învăţământ;URBAN;Militaru Stoian  72 040713;213323396;213323396
B;324;Școala Gimnazială ”Grigorie Ghica Voievod”;78;Unitate de învăţământ;URBAN;Lăptari Tei 23 023628;212421160;212421160
B;325;Școala Gimnazială ”Iancului”;57;Unitate de învăţământ;URBAN;Protopopescu Pache 50 021414;212522260;212522260
B;326;Școala Gimnazială ”Maica Domnului”;53;Unitate de învăţământ;URBAN;Maiorescu Ion, prof. 32 021245;212520310;212520310
B;327;Școala Gimnazială ”Mărțișor”;50;Unitate de învăţământ;URBAN;Mărţişor 39 041241;213325811;213325811
B;328;Școala Gimnazială ”Sf. Silvestru”;40;Unitate de învăţământ;URBAN;Oltarului 11 020764;212102045;212102045
B;329;Școala Gimnazială ”Tudor Arghezi”;51;Unitate de învăţământ;URBAN;Arghezi Tudor, poet 46-50 020948;213169187;213169187
B;330;Școala Gimnazială „Orizont;59;Unitate de învăţământ;URBAN;Marcu Mihaela Ruxandra 3 061524;311050034;311050034
B;331;Școala Gimnazială „Regina Maria;134;Unitate de învăţământ;URBAN;Apusului 71-73 062282;214340102;214340102
B;332;Școala Gimnazială „Sfântul Calinic de la Cernica”;54;Unitate de învăţământ;URBAN;Pravăţ 22 061567;214131160;311050017
B;333;Școala Profesională Specială pentru Deficienţi de Auz Sfânta Maria;3;Unitate de învăţământ;URBAN;Istru 6 061912;214440331;214440337
