j;c;l;m;sp;lp;lb;nlt;fi;p;f;n;uma
B;118;"Colegiul National ""Aurel Vlaicu""";URBAN;Stiinte ale Naturii;Limba romana;-;52;TER;REA;Zi;Liceal;01.08.1970
B;119;"Colegiul National ""Aurel Vlaicu""";URBAN;Filologie;Limba romana;-;52;TER;UMA;Zi;Liceal;01.08.1951
B;120;"Colegiul German ""Goethe""";URBAN;Teor.real spec.germana;Limba germana;-;25;TER;REA;Zi;Liceal;01.09.1932
B;121;"Colegiul German ""Goethe""";URBAN;Matematica-Informatica;Limba germana;-;26;TER;REA;Zi;Liceal;01.08.1982
B;122;"Colegiul German ""Goethe""";URBAN;Filologie;Limba germana;-;26;TER;UMA;Zi;Liceal;01.08.1955
B;123;"Colegiul German ""Goethe""";URBAN;Teor.uman.spec.germana;Limba germana;-;25;TER;UMA;Zi;Liceal;-
B;124;"Colegiul National ""Ion Neculce""";URBAN;Matematica-Informatica;Limba romana;-;78;TER;REA;Zi;Liceal;01.09.2028
B;125;"Colegiul National ""Ion Neculce""";URBAN;Stiinte ale Naturii;Limba romana;-;26;TER;REA;Zi;Liceal;01.09.1931
B;126;"Colegiul National ""Ion Neculce""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.09.2018
B;127;"Colegiul National ""Ion Neculce""";URBAN;Filologie;Limba romana;Limba italiana;26;TER;UMA;Zi;Liceal;09.03.2023
B;129;"Colegiul National ""Ion Neculce""";URBAN;Stiinte Sociale;Limba romana;-;26;TER;UMA;Zi;Liceal;01.09.2022
B;130;"Liceul Teoretic ""Jean Monnet""";URBAN;Matematica-Informatica;Limba romana;-;52;TER;REA;Zi;Liceal;01.09.2024
B;131;"Liceul Teoretic ""Jean Monnet""";URBAN;Stiinte ale Naturii;Limba romana;-;26;TER;REA;Zi;Liceal;01.09.2020
B;132;"Liceul Teoretic ""Jean Monnet""";URBAN;Stiinte Sociale;Limba romana;-;52;TER;UMA;Zi;Liceal;09.09.2023
B;133;"Liceul Teoretic ""C-tin Brancoveanu""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;01.08.1946
B;134;"Liceul Teoretic ""C-tin Brancoveanu""";URBAN;Stiinte ale Naturii;Limba romana;-;52;TER;REA;Zi;Liceal;01.08.2020
